113002	S1061	0	0	0	0	0	0.9686449349510305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113088	S3487	0	0	0	0	0	0.9655598504530765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113094	S3513	0	0	0	0	0	0.9603681209717403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112966	S335	0	0	0	0	0	0	0.8242662848962061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113141	SN183	0	0	0	0	0	0	0.8124035899593325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113192	S1791	0	0	0	0	0	0	0.8004773427917924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113142	SN184	0	0	0	0	0	0	0.7975460122699386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113187	SN9	0	0	0	0	0	0	0.7852794043510296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113131	SN150	0	0	0	0	0	0	0.496370525123048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3262278247937396	0	0
113166	SN42	0	0	0	0	0	0	0.4093981217985202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4308480364257256	0	0
113176	SN63	0	0	0	0	0	0	0.40262321144674085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4156399046104928	0	0
113017	S1418	0	0	0	0	0	0	0	0.9776212184003316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112975	S471	0	0	0	0	0	0	0	0.9758489587833751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112955	S148	0	0	0	0	0	0	0	0.9745954253684116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113029	S1803	0	0	0	0	0	0	0	0.9714428500035696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112999	S955	0	0	0	0	0	0	0	0.9706030875775501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113003	S1068	0	0	0	0	0	0	0	0.968432289548597	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113019	S1441	0	0	0	0	0	0	0	0.9671549045716822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112996	S914	0	0	0	0	0	0	0	0.9666101018167299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113067	S3383	0	0	0	0	0	0	0	0.8256431621706072	0	0	0	0	0	0	0	0	0	0	0	0.12831996667013854	0	0	0	0	0	0	0	0	0	0	0	0	0
113149	SN197	0	0	0	0	0	0	0	0	0.5491489361702128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113058	S3086	0	0	0	0	0	0	0	0	0.5350234341712825	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113173	SN56	0	0	0	0	0	0	0	0	0.5291174478970732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113097	S3516	0	0	0	0	0	0	0	0	0.3981016192071468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113185	SN87	0	0	0	0	0	0	0	0	0.36586678627494956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113150	SN198	0	0	0	0	0	0	0	0	0.36579108592433757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113136	SN169	0	0	0	0	0	0	0	0	0.3575604308985812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112965	S314	0	0	0	0	0	0	0	0	0.3432354438974707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112976	S473	0	0	0	0	0	0	0	0	0.34006255331248225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112967	S377	0	0	0	0	0	0	0	0	0	0.8870770627466043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113147	SN192	0	0	0	0	0	0	0	0	0	0.8836631542876724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113068	S3422	0	0	0	0	0	0	0	0	0	0.8770053475935828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113084	S3482	0	0	0	0	0	0	0	0	0	0.8673217261391715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113183	SN82	0	0	0	0	0	0	0	0	0	0.8635866474165463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112978	S488	0	0	0	0	0	0	0	0	0	0	0.9170064448244114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113047	S2731	0	0	0	0	0	0	0	0	0	0	0.9157228667064056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113009	S1144	0	0	0	0	0	0	0	0	0	0	0.9146931184128952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113063	S3246	0	0	0	0	0	0	0	0	0	0	0.9143227909222598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113001	S1037	0	0	0	0	0	0	0	0	0	0	0.9126094427624581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113146	SN191	0	0	0	0	0	0	0	0	0	0	0.9115386304739316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113161	SN35	0	0	0	0	0	0	0	0	0	0	0.8900738881918304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112957	S179	0	0	0	0	0	0	0	0	0	0	0	0.5354661791590494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.341636197440585	0	0
113167	SN45	0	0	0	0	0	0	0	0	0	0	0	0.5297697368421053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3416529605263158	0	0
113115	SN110	0	0	0	0	0	0	0	0	0	0	0	0.5229687419801878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35138325719858343	0	0
113128	SN141	0	0	0	0	0	0	0	0	0	0	0	0.2147783632982021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7079200247985121	0
113122	SN127	0	0	0	0	0	0	0	0	0	0	0	0.2150721174362038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7051292993086968	0
113202	SN84	0	0	0	0	0	0	0	0	0	0.25051869509557234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.64154858076193	0
113121	SN126	0	0	0	0	0	0	0	0	0	0.28356392807246833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.600027040425436	0
113064	S3317	0	0	0	0	0	0	0	0	0	0	0	0	0.8300898203592815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113076	S3472	0	0	0	0	0	0	0	0	0	0	0	0	0.8237707159656512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113170	SN49b	0	0	0	0	0	0	0	0	0	0	0	0	0.8211705029430062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113155	SN21	0	0	0	0	0	0	0	0	0	0	0	0	0.8182016518622409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113077	S3473	0	0	0	0	0	0	0	0	0	0	0	0	0.8158368522701234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113060	S3149	0	0	0	0	0	0	0	0	0	0	0	0	0.8073639068114207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113103	S3149b	0	0	0	0	0	0	0	0	0	0	0	0	0.7893591293833133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113037	S2142	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113028	S1771	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113015	S1279	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112990	S785	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113113	SN109	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9948874445149017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113104	S3477a	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7126450251962967	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112983	S619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6734916964473407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1566113096489384	0	0
113008	S1133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5939664063651098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2523574480624724	0	0
113188	SN92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5932822362488729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23868349864743013	0	0
113180	SN72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5711255795600276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28410772417875113	0	0
113203	SN96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.549172416258535	0	0	0	0	0	0.02477388910735352	0	0	0	0	0	0	0	0	0	0.3056518785972187	0	0
113156	SN217b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8037648730243296	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113107	S775b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8011966964436205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112963	S263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7836813742000673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112986	S664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.783244245663794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113184	SN85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8699070764832023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113108	SN102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8613697114941469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113048	S2736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8542797032443805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113186	SN89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.852885792298277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113022	S1526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9130434782608695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113112	SN108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.910046511627907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113033	S1943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9008196345986538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113159	SN30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9303684780925839	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113137	SN170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9155687124749833	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113151	SN198b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4379904755516802	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113125	SN134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6093366093366094	0	0	0	0	0	0	0	0	0	0	0	0	0
113081	S3478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6270262411863051	0	0	0	0	0	0	0	0	0	0	0
113010	S1166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4861717612809316	0	0	0	0	0	0	0	0	0	0	0
113100	S1388a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5403293329612057	0	0	0	0	0	0	0	0	0	0
113101	S1388b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6568627450980392	0	0	0	0	0	0
113148	SN192b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8330781010719756	0	0	0	0	0
112969	S403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6008915694244132	0	0	0	0
113196	S3481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113195	S3469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113154	SN209b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113105	S3477b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113085	S3484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113011	S1195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113007	S1110B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sequence accession / SymPortal UID		25883-32-41-25896	517-70877-70879-519-6417-70882-518	517-70877-70879-519-70883-3419-70880	62831-49066-62833-41-70819-70818-38924	106-1-2-4-109	106-1-2	62831-49066-41-38924-471943-62836-70991	2-4-6276-32-11962	1-2-4-20-32	62831-49066-41-38924-70819-62836-70818-70820	2-308-4-835-32-1	49066/62831-41-38924-70818-70820-62836	62831-49066-70819-41-38924-70839	106-270513-1-2	62831-49066-41-38924-62833-70819	2-4-32-833-308-1	106-1-301-109-130-111-2	2-308-4-828-835	106/1-2-108-4-5-32-20-117-118	517-519		2/517-4-32	62831-62833-49066	62831-49066	106-62831	1584-517	62831-517-49066-70882-41	62831-49066-41-38924-62836	1-2-4-108-5-20-32-117-15	1584	853/854-933-1674-2582-1768-70902	853/854-933-1674-70902	853-854-933-1674
Average defining sequence proportions and [stdev]		0.870[0.019]-0.066[0.011]-0.047[0.009]-0.017[0.011]	0.711[0.017]-0.076[0.011]-0.050[0.012]-0.047[0.007]-0.047[0.012]-0.040[0.017]-0.028[0.005]	0.728[0.020]-0.096[0.011]-0.056[0.010]-0.036[0.007]-0.033[0.007]-0.027[0.003]-0.024[0.005]	0.583[0.057]-0.130[0.032]-0.087[0.023]-0.076[0.037]-0.060[0.007]-0.032[0.010]-0.032[0.009]	0.850[0.051]-0.069[0.021]-0.059[0.022]-0.014[0.008]-0.008[0.002]	0.935[0.011]-0.035[0.007]-0.030[0.005]	0.496[0.030]-0.248[0.010]-0.111[0.027]-0.049[0.017]-0.034[0.011]-0.034[0.003]-0.027[0.009]	0.413[0.027]-0.297[0.007]-0.174[0.015]-0.082[0.006]-0.034[0.004]	0.471[0.062]-0.360[0.036]-0.107[0.024]-0.032[0.009]-0.030[0.008]	0.466[0.054]-0.263[0.056]-0.116[0.007]-0.045[0.007]-0.037[0.025]-0.031[0.011]-0.025[0.010]-0.018[0.013]	0.794[0.003]-0.118[0.003]-0.034[0.004]-0.024[0.002]-0.022[0.001]-0.009[0.001]	0.374[0.045]/0.358[0.059]-0.127[0.018]-0.044[0.007]-0.038[0.004]-0.033[0.003]-0.027[0.013]	0.473[0.007]-0.176[0.011]-0.133[0.004]-0.111[0.005]-0.056[0.003]-0.051[0.004]	0.811[0.263]-0.082[0.079]-0.059[0.104]-0.049[0.081]	0.521[0.007]-0.178[0.004]-0.119[0.003]-0.064[0.003]-0.059[0.003]-0.059[0.002]	0.714[0.011]-0.078[0.006]-0.066[0.005]-0.059[0.005]-0.058[0.004]-0.026[0.001]	0.327[0.022]-0.293[0.018]-0.186[0.003]-0.054[0.009]-0.049[0.003]-0.048[0.005]-0.042[0.002]	0.789[0.003]-0.121[0.004]-0.035[0.006]-0.032[0.001]-0.023[0.001]	0.476[0.393]/0.185[0.165]-0.174[0.135]-0.052[0.023]-0.047[0.032]-0.018[0.008]-0.015[0.014]-0.014[0.015]-0.012[0.001]-0.007[0.003]	0.916[0.039]-0.084[0.039]	0.534[0.132]/0.466[0.132]	0.485[0.262]/0.279[0.110]-0.161[0.129]-0.076[0.023]	0.676[nan]-0.231[nan]-0.093[nan]	0.716[nan]-0.284[nan]	0.870[nan]-0.130[nan]	0.944[nan]-0.056[nan]	0.463[nan]-0.343[nan]-0.134[nan]-0.030[nan]-0.030[nan]	0.544[nan]-0.275[nan]-0.115[nan]-0.042[nan]-0.024[nan]	0.497[nan]-0.280[nan]-0.084[nan]-0.059[nan]-0.021[nan]-0.021[nan]-0.017[nan]-0.011[nan]-0.010[nan]	1.000[nan]	0.375[0.032]/0.339[0.022]-0.158[0.012]-0.047[0.007]-0.031[0.019]-0.029[0.023]-0.021[0.008]	0.391[0.046]/0.373[0.046]-0.171[0.013]-0.044[0.009]-0.021[0.003]	0.409[0.021]-0.292[0.108]-0.224[0.071]-0.075[0.017]
