113166	SN42	0	0	0	0	0	0	11509.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12112.0	0	0
113176	SN63	0	0	0	0	0	0	8104.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8366.0	0	0
113017	S1418	0	0	0	0	0	0	0	18872.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112975	S471	0	0	0	0	0	0	0	22587.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112955	S148	0	0	0	0	0	0	0	21560.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113029	S1803	0	0	0	0	0	0	0	27214.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112999	S955	0	0	0	0	0	0	0	26909.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113003	S1068	0	0	0	0	0	0	0	19051.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113019	S1441	0	0	0	0	0	0	0	17432.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112996	S914	0	0	0	0	0	0	0	19367.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113067	S3383	0	0	0	0	0	0	0	7927.0	0	0	0	0	0	0	0	0	0	0	0	1232.0	0	0	0	0	0	0	0	0	0	0	0	0	0
113149	SN197	0	0	0	0	0	0	0	0	10324.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113058	S3086	0	0	0	0	0	0	0	0	25114.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113173	SN56	0	0	0	0	0	0	0	0	14065.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113097	S3516	0	0	0	0	0	0	0	0	713.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113185	SN87	0	0	0	0	0	0	0	0	8157.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113150	SN198	0	0	0	0	0	0	0	0	9553.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113136	SN169	0	0	0	0	0	0	0	0	10887.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112965	S314	0	0	0	0	0	0	0	0	8088.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112976	S473	0	0	0	0	0	0	0	0	2392.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112967	S377	0	0	0	0	0	0	0	0	0	25405.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113147	SN192	0	0	0	0	0	0	0	0	0	20630.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113068	S3422	0	0	0	0	0	0	0	0	0	25584.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113084	S3482	0	0	0	0	0	0	0	0	0	15094.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113183	SN82	0	0	0	0	0	0	0	0	0	19739.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112978	S488	0	0	0	0	0	0	0	0	0	0	20916.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113047	S2731	0	0	0	0	0	0	0	0	0	0	19971.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113009	S1144	0	0	0	0	0	0	0	0	0	0	14754.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113063	S3246	0	0	0	0	0	0	0	0	0	0	30297.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113001	S1037	0	0	0	0	0	0	0	0	0	0	22306.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113146	SN191	0	0	0	0	0	0	0	0	0	0	20753.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113161	SN35	0	0	0	0	0	0	0	0	0	0	25538.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112957	S179	0	0	0	0	0	0	0	0	0	0	0	11716.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7475.0	0	0
113167	SN45	0	0	0	0	0	0	0	0	0	0	0	12884.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8309.0	0	0
113115	SN110	0	0	0	0	0	0	0	0	0	0	0	20378.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13692.0	0	0
113128	SN141	0	0	0	0	0	0	0	0	0	0	0	5543.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18270.0	0
113122	SN127	0	0	0	0	0	0	0	0	0	0	0	5040.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16524.0	0
113202	SN84	0	0	0	0	0	0	0	0	0	5675.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14533.0	0
113121	SN126	0	0	0	0	0	0	0	0	0	6292.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13314.0	0
113064	S3317	0	0	0	0	0	0	0	0	0	0	0	0	24398.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113076	S3472	0	0	0	0	0	0	0	0	0	0	0	0	15061.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113170	SN49b	0	0	0	0	0	0	0	0	0	0	0	0	17160.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113155	SN21	0	0	0	0	0	0	0	0	0	0	0	0	26252.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113077	S3473	0	0	0	0	0	0	0	0	0	0	0	0	24923.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113060	S3149	0	0	0	0	0	0	0	0	0	0	0	0	20897.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113103	S3149b	0	0	0	0	0	0	0	0	0	0	0	0	13056.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113037	S2142	0	0	0	0	0	0	0	0	0	0	0	0	0	16194.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113028	S1771	0	0	0	0	0	0	0	0	0	0	0	0	0	22808.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113015	S1279	0	0	0	0	0	0	0	0	0	0	0	0	0	25427.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112990	S785	0	0	0	0	0	0	0	0	0	0	0	0	0	26449.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113113	SN109	0	0	0	0	0	0	0	0	0	0	0	0	0	25103.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113104	S3477a	0	0	0	0	0	0	0	0	0	0	0	0	0	6081.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112983	S619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16019.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3725.0	0	0
113008	S1133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16125.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6851.0	0	0
113188	SN92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13159.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5294.0	0	0
113180	SN72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11579.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5760.0	0	0
113203	SN96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15362.0	0	0	0	0	0	693.0	0	0	0	0	0	0	0	0	0	8550.0	0	0
113156	SN217b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18104.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113107	S775b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19014.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112963	S263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18614.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112986	S664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14360.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113184	SN85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23123.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113108	SN102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18690.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113048	S2736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7715.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113186	SN89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18117.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113022	S1526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20223.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113112	SN108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19566.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113033	S1943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19673.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113159	SN30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24037.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113137	SN170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21959.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113151	SN198b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6530.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113125	SN134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	496.0	0	0	0	0	0	0	0	0	0	0	0	0	0
113081	S3478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8626.0	0	0	0	0	0	0	0	0	0	0	0
113010	S1166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	334.0	0	0	0	0	0	0	0	0	0	0	0
113100	S1388a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5808.0	0	0	0	0	0	0	0	0	0	0
113101	S1388b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	134.0	0	0	0	0	0	0
113148	SN192b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2176.0	0	0	0	0	0
112969	S403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13749.0	0	0	0	0
113196	S3481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113195	S3469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113154	SN209b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113105	S3477b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113085	S3484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113011	S1195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113007	S1110B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sequence accession / SymPortal UID		25883-32-41-25896	517-70877-70879-519-6417-70882-518	517-70877-70879-519-70883-3419-70880	62831-49066-62833-41-70819-70818-38924	106-1-2-4-109	106-1-2	62831-49066-41-38924-471943-62836-70991	2-4-6276-32-11962	1-2-4-20-32	62831-49066-41-38924-70819-62836-70818-70820	2-308-4-835-32-1	49066/62831-41-38924-70818-70820-62836	62831-49066-70819-41-38924-70839	106-270513-1-2	62831-49066-41-38924-62833-70819	2-4-32-833-308-1	106-1-301-109-130-111-2	2-308-4-828-835	106/1-2-108-4-5-32-20-117-118	517-519		2/517-4-32	62831-62833-49066	62831-49066	106-62831	1584-517	62831-517-49066-70882-41	62831-49066-41-38924-62836	1-2-4-108-5-20-32-117-15	1584	853/854-933-1674-2582-1768-70902	853/854-933-1674-70902	853-854-933-1674
Average defining sequence proportions and [stdev]		0.870[0.019]-0.066[0.011]-0.047[0.009]-0.017[0.011]	0.711[0.017]-0.076[0.011]-0.050[0.012]-0.047[0.007]-0.047[0.012]-0.040[0.017]-0.028[0.005]	0.728[0.020]-0.096[0.011]-0.056[0.010]-0.036[0.007]-0.033[0.007]-0.027[0.003]-0.024[0.005]	0.583[0.057]-0.130[0.032]-0.087[0.023]-0.076[0.037]-0.060[0.007]-0.032[0.010]-0.032[0.009]	0.850[0.051]-0.069[0.021]-0.059[0.022]-0.014[0.008]-0.008[0.002]	0.935[0.011]-0.035[0.007]-0.030[0.005]	0.496[0.030]-0.248[0.010]-0.111[0.027]-0.049[0.017]-0.034[0.011]-0.034[0.003]-0.027[0.009]	0.413[0.027]-0.297[0.007]-0.174[0.015]-0.082[0.006]-0.034[0.004]	0.471[0.062]-0.360[0.036]-0.107[0.024]-0.032[0.009]-0.030[0.008]	0.466[0.054]-0.263[0.056]-0.116[0.007]-0.045[0.007]-0.037[0.025]-0.031[0.011]-0.025[0.010]-0.018[0.013]	0.794[0.003]-0.118[0.003]-0.034[0.004]-0.024[0.002]-0.022[0.001]-0.009[0.001]	0.374[0.045]/0.358[0.059]-0.127[0.018]-0.044[0.007]-0.038[0.004]-0.033[0.003]-0.027[0.013]	0.473[0.007]-0.176[0.011]-0.133[0.004]-0.111[0.005]-0.056[0.003]-0.051[0.004]	0.811[0.263]-0.082[0.079]-0.059[0.104]-0.049[0.081]	0.521[0.007]-0.178[0.004]-0.119[0.003]-0.064[0.003]-0.059[0.003]-0.059[0.002]	0.714[0.011]-0.078[0.006]-0.066[0.005]-0.059[0.005]-0.058[0.004]-0.026[0.001]	0.327[0.022]-0.293[0.018]-0.186[0.003]-0.054[0.009]-0.049[0.003]-0.048[0.005]-0.042[0.002]	0.789[0.003]-0.121[0.004]-0.035[0.006]-0.032[0.001]-0.023[0.001]	0.476[0.393]/0.185[0.165]-0.174[0.135]-0.052[0.023]-0.047[0.032]-0.018[0.008]-0.015[0.014]-0.014[0.015]-0.012[0.001]-0.007[0.003]	0.916[0.039]-0.084[0.039]	0.534[0.132]/0.466[0.132]	0.485[0.262]/0.279[0.110]-0.161[0.129]-0.076[0.023]	0.676[nan]-0.231[nan]-0.093[nan]	0.716[nan]-0.284[nan]	0.870[nan]-0.130[nan]	0.944[nan]-0.056[nan]	0.463[nan]-0.343[nan]-0.134[nan]-0.030[nan]-0.030[nan]	0.544[nan]-0.275[nan]-0.115[nan]-0.042[nan]-0.024[nan]	0.497[nan]-0.280[nan]-0.084[nan]-0.059[nan]-0.021[nan]-0.021[nan]-0.017[nan]-0.011[nan]-0.010[nan]	1.000[nan]	0.375[0.032]/0.339[0.022]-0.158[0.012]-0.047[0.007]-0.031[0.019]-0.029[0.023]-0.021[0.008]	0.391[0.046]/0.373[0.046]-0.171[0.013]-0.044[0.009]-0.021[0.003]	0.409[0.021]-0.292[0.108]-0.224[0.071]-0.075[0.017]
